x,y,label,group,file
-24.646212,-18.342142,0,mast_20250730_143631_805,tester_data\all_tester\mast_20250730_143631_805.wav
-11.803866,-29.931162,0,mast_20250730_143632_794,tester_data\all_tester\mast_20250730_143632_794.wav
-13.016008,-29.147552,0,mast_20250730_143633_797,tester_data\all_tester\mast_20250730_143633_797.wav
-39.120937,2.2785769,0,mast_20250730_143634_791,tester_data\all_tester\mast_20250730_143634_791.wav
-20.105389,-28.271156,0,mast_20250730_143636_794,tester_data\all_tester\mast_20250730_143636_794.wav
-14.700027,-31.807188,0,mast_20250730_143637_784,tester_data\all_tester\mast_20250730_143637_784.wav
-17.454811,-27.722042,0,mast_20250730_143638_794,tester_data\all_tester\mast_20250730_143638_794.wav
-24.567486,-17.704292,0,mast_20250730_143640_779,tester_data\all_tester\mast_20250730_143640_779.wav
-15.363249,-29.97217,0,mast_20250730_143641_786,tester_data\all_tester\mast_20250730_143641_786.wav
-14.524502,-30.436163,0,mast_20250730_143642_780,tester_data\all_tester\mast_20250730_143642_780.wav
-24.677896,-18.225193,0,mast_20250730_143643_787,tester_data\all_tester\mast_20250730_143643_787.wav
-19.881575,-27.668812,0,mast_20250730_143645_797,tester_data\all_tester\mast_20250730_143645_797.wav
-14.891616,-31.537807,0,mast_20250730_143646_795,tester_data\all_tester\mast_20250730_143646_795.wav
-17.615005,-28.489668,0,mast_20250730_143647_805,tester_data\all_tester\mast_20250730_143647_805.wav
-13.57445,-28.514833,0,mast_20250730_143650_790,tester_data\all_tester\mast_20250730_143650_790.wav
-11.287064,-30.183256,0,mast_20250730_143651_785,tester_data\all_tester\mast_20250730_143651_785.wav
-19.469778,-26.746954,0,mast_20250730_143652_794,tester_data\all_tester\mast_20250730_143652_794.wav
-41.36111,1.7316332,0,mast_20250730_143653_785,tester_data\all_tester\mast_20250730_143653_785.wav
-19.416107,-26.135334,0,mast_20250730_143654_776,tester_data\all_tester\mast_20250730_143654_776.wav
-13.933772,-30.763363,0,mast_20250730_143655_783,tester_data\all_tester\mast_20250730_143655_783.wav
-15.814919,-29.743675,0,mast_20250730_143656_775,tester_data\all_tester\mast_20250730_143656_775.wav
-15.911158,-27.846563,0,mast_20250730_143659_800,tester_data\all_tester\mast_20250730_143659_800.wav
-12.907103,-30.982231,0,mast_20250730_143700_794,tester_data\all_tester\mast_20250730_143700_794.wav
-19.97581,-27.629793,0,mast_20250730_143701_799,tester_data\all_tester\mast_20250730_143701_799.wav
-40.217667,2.3952737,0,mast_20250730_143703_797,tester_data\all_tester\mast_20250730_143703_797.wav
-17.359308,-30.718832,0,mast_20250730_143704_791,tester_data\all_tester\mast_20250730_143704_791.wav
-17.255156,-30.735615,0,mast_20250730_143705_785,tester_data\all_tester\mast_20250730_143705_785.wav
-25.410637,-18.403303,0,mast_20250730_143706_788,tester_data\all_tester\mast_20250730_143706_788.wav
-17.278835,-27.410252,0,mast_20250730_143708_795,tester_data\all_tester\mast_20250730_143708_795.wav
-12.088588,-30.695097,0,mast_20250730_143709_786,tester_data\all_tester\mast_20250730_143709_786.wav
-18.149532,-27.814692,0,mast_20250730_143710_775,tester_data\all_tester\mast_20250730_143710_775.wav
-17.588419,-29.988287,0,mast_20250730_143713_787,tester_data\all_tester\mast_20250730_143713_787.wav
-15.527707,-31.22813,0,mast_20250730_143714_794,tester_data\all_tester\mast_20250730_143714_794.wav
-26.75982,-19.086374,0,mast_20250730_143715_802,tester_data\all_tester\mast_20250730_143715_802.wav
-25.57258,-19.305231,0,mast_20250730_143717_803,tester_data\all_tester\mast_20250730_143717_803.wav
-12.29225,-30.64916,0,mast_20250730_143718_794,tester_data\all_tester\mast_20250730_143718_794.wav
-16.590748,-28.279533,0,mast_20250730_143719_787,tester_data\all_tester\mast_20250730_143719_787.wav
-18.298094,-29.049564,0,mast_20250730_143722_787,tester_data\all_tester\mast_20250730_143722_787.wav
-14.099933,-31.420933,0,mast_20250730_143723_782,tester_data\all_tester\mast_20250730_143723_782.wav
-24.109379,-19.27294,0,mast_20250730_143724_789,tester_data\all_tester\mast_20250730_143724_789.wav
-27.06611,-19.120453,0,mast_20250730_143726_774,tester_data\all_tester\mast_20250730_143726_774.wav
-11.695964,-29.915335,0,mast_20250730_143727_784,tester_data\all_tester\mast_20250730_143727_784.wav
-13.226687,-29.134296,0,mast_20250730_143728_772,tester_data\all_tester\mast_20250730_143728_772.wav
-19.844227,-28.490614,0,mast_20250730_143731_799,tester_data\all_tester\mast_20250730_143731_799.wav
-14.691003,-31.659384,0,mast_20250730_143732_792,tester_data\all_tester\mast_20250730_143732_792.wav
-17.487259,-27.434181,0,mast_20250730_143733_796,tester_data\all_tester\mast_20250730_143733_796.wav
-24.59574,-17.974106,0,mast_20250730_143735_786,tester_data\all_tester\mast_20250730_143735_786.wav
-11.166953,-29.647747,0,mast_20250730_143736_790,tester_data\all_tester\mast_20250730_143736_790.wav
-11.226384,-29.683914,0,mast_20250730_143737_785,tester_data\all_tester\mast_20250730_143737_785.wav
-26.579636,-18.699158,0,mast_20250730_143738_787,tester_data\all_tester\mast_20250730_143738_787.wav
-20.386272,-28.067837,0,mast_20250730_143740_772,tester_data\all_tester\mast_20250730_143740_772.wav
-14.380045,-31.481092,0,mast_20250730_143741_783,tester_data\all_tester\mast_20250730_143741_783.wav
-14.7372265,-28.121433,0,mast_20250730_143742_779,tester_data\all_tester\mast_20250730_143742_779.wav
-14.196075,-28.948595,0,mast_20250730_143745_802,tester_data\all_tester\mast_20250730_143745_802.wav
-12.505809,-30.41317,0,mast_20250730_143746_795,tester_data\all_tester\mast_20250730_143746_795.wav
-19.618534,-26.684324,0,mast_20250730_143747_802,tester_data\all_tester\mast_20250730_143747_802.wav
-42.04312,1.365278,0,mast_20250730_143748_792,tester_data\all_tester\mast_20250730_143748_792.wav
-19.608889,-26.874601,0,mast_20250730_143749_796,tester_data\all_tester\mast_20250730_143749_796.wav
-16.047178,-31.29979,0,mast_20250730_143750_795,tester_data\all_tester\mast_20250730_143750_795.wav
-18.173203,-29.738739,0,mast_20250730_143751_781,tester_data\all_tester\mast_20250730_143751_781.wav
-14.019127,-28.246918,0,mast_20250730_143754_793,tester_data\all_tester\mast_20250730_143754_793.wav
-11.902539,-30.558771,0,mast_20250730_143755_784,tester_data\all_tester\mast_20250730_143755_784.wav
-19.367,-27.247082,0,mast_20250730_143756_777,tester_data\all_tester\mast_20250730_143756_777.wav
-25.192272,-18.299582,0,mast_20250730_143758_777,tester_data\all_tester\mast_20250730_143758_777.wav
-16.44117,-30.919306,0,mast_20250730_143759_803,tester_data\all_tester\mast_20250730_143759_803.wav
-16.948538,-30.61194,0,mast_20250730_143800_796,tester_data\all_tester\mast_20250730_143800_796.wav
-25.174482,-18.134773,0,mast_20250730_143801_801,tester_data\all_tester\mast_20250730_143801_801.wav
-17.705275,-27.684004,0,mast_20250730_143803_794,tester_data\all_tester\mast_20250730_143803_794.wav
-12.000546,-30.621584,0,mast_20250730_143804_791,tester_data\all_tester\mast_20250730_143804_791.wav
-18.379261,-27.551512,0,mast_20250730_143805_782,tester_data\all_tester\mast_20250730_143805_782.wav
-42.57191,2.5450583,0,mast_20250730_143807_785,tester_data\all_tester\mast_20250730_143807_785.wav
-16.873785,-30.348713,0,mast_20250730_143808_795,tester_data\all_tester\mast_20250730_143808_795.wav
-15.125387,-31.196535,0,mast_20250730_143809_786,tester_data\all_tester\mast_20250730_143809_786.wav
-26.821552,-19.054005,0,mast_20250730_143810_775,tester_data\all_tester\mast_20250730_143810_775.wav
-38.871593,0.895013,0,mast_20250730_143811_786,tester_data\all_tester\mast_20250730_143811_786.wav
-25.358294,-19.325212,0,mast_20250730_143812_776,tester_data\all_tester\mast_20250730_143812_776.wav
-11.167581,-30.161276,0,mast_20250730_143813_782,tester_data\all_tester\mast_20250730_143813_782.wav
-15.356267,-28.03456,0,mast_20250730_143814_810,tester_data\all_tester\mast_20250730_143814_810.wav
-18.18876,-29.65443,0,mast_20250730_143817_798,tester_data\all_tester\mast_20250730_143817_798.wav
-14.952686,-31.54284,0,mast_20250730_143818_790,tester_data\all_tester\mast_20250730_143818_790.wav
-25.26652,-19.088856,0,mast_20250730_143819_796,tester_data\all_tester\mast_20250730_143819_796.wav
-25.523687,-18.819984,0,mast_20250730_143821_783,tester_data\all_tester\mast_20250730_143821_783.wav
-13.122303,-30.856861,0,mast_20250730_143822_792,tester_data\all_tester\mast_20250730_143822_792.wav
-15.980345,-28.782114,0,mast_20250730_143823_784,tester_data\all_tester\mast_20250730_143823_784.wav
-19.106325,-28.42098,0,mast_20250730_143826_771,tester_data\all_tester\mast_20250730_143826_771.wav
-13.680423,-31.350534,0,mast_20250730_143827_784,tester_data\all_tester\mast_20250730_143827_784.wav
-18.941414,-27.667048,0,mast_20250730_143828_778,tester_data\all_tester\mast_20250730_143828_778.wav
-25.9488,-18.61888,0,mast_20250730_143830_794,tester_data\all_tester\mast_20250730_143830_794.wav
-12.782648,-29.977842,0,mast_20250730_143831_804,tester_data\all_tester\mast_20250730_143831_804.wav
-13.381816,-29.858295,0,mast_20250730_143832_788,tester_data\all_tester\mast_20250730_143832_788.wav
-39.726246,2.3325942,0,mast_20250730_143833_799,tester_data\all_tester\mast_20250730_143833_799.wav
-41.11771,1.6046633,0,mast_20250730_143834_794,tester_data\all_tester\mast_20250730_143834_794.wav
-20.456964,-28.20066,0,mast_20250730_143835_782,tester_data\all_tester\mast_20250730_143835_782.wav
-14.991054,-31.72877,0,mast_20250730_143836_793,tester_data\all_tester\mast_20250730_143836_793.wav
-16.306637,-27.771353,0,mast_20250730_143837_781,tester_data\all_tester\mast_20250730_143837_781.wav
-12.971412,-29.231672,0,mast_20250730_143840_778,tester_data\all_tester\mast_20250730_143840_778.wav
-11.712895,-29.952085,0,mast_20250730_143841_781,tester_data\all_tester\mast_20250730_143841_781.wav
-24.201733,-18.275354,0,mast_20250730_143842_777,tester_data\all_tester\mast_20250730_143842_777.wav
-20.112896,-27.51922,0,mast_20250730_143844_809,tester_data\all_tester\mast_20250730_143844_809.wav
-16.149332,-31.431864,0,mast_20250730_143845_802,tester_data\all_tester\mast_20250730_143845_802.wav
-18.813288,-29.383198,0,mast_20250730_143846_792,tester_data\all_tester\mast_20250730_143846_792.wav
-14.401862,-28.47876,0,mast_20250730_143849_801,tester_data\all_tester\mast_20250730_143849_801.wav
-12.730056,-30.837765,0,mast_20250730_143850_794,tester_data\all_tester\mast_20250730_143850_794.wav
-20.04104,-27.484892,0,mast_20250730_143851_784,tester_data\all_tester\mast_20250730_143851_784.wav
-19.55543,-26.256525,0,mast_20250730_143853_782,tester_data\all_tester\mast_20250730_143853_782.wav
-16.865747,-31.0308,0,mast_20250730_143854_793,tester_data\all_tester\mast_20250730_143854_793.wav
-17.663713,-30.447287,0,mast_20250730_143855_782,tester_data\all_tester\mast_20250730_143855_782.wav
-25.119276,-18.068361,0,mast_20250730_143856_775,tester_data\all_tester\mast_20250730_143856_775.wav
-38.83464,0.9376203,0,mast_20250730_143857_785,tester_data\all_tester\mast_20250730_143857_785.wav
-16.832275,-27.602348,0,mast_20250730_143858_775,tester_data\all_tester\mast_20250730_143858_775.wav
-12.275024,-30.953249,0,mast_20250730_143859_799,tester_data\all_tester\mast_20250730_143859_799.wav
-73.18857,0.28384325,0,mast_20250819_093017_236,tester_data\all_tester\mast_20250819_093017_236.wav
-72.12842,-1.777535,0,mast_20250819_093018_235,tester_data\all_tester\mast_20250819_093018_235.wav
-65.74119,-0.21536946,0,mast_20250819_093019_243,tester_data\all_tester\mast_20250819_093019_243.wav
-65.48175,0.5662167,0,mast_20250819_093021_235,tester_data\all_tester\mast_20250819_093021_235.wav
-74.149185,0.11307875,0,mast_20250819_093022_236,tester_data\all_tester\mast_20250819_093022_236.wav
-74.38296,1.3940887,0,mast_20250819_093023_225,tester_data\all_tester\mast_20250819_093023_225.wav
-66.881096,-8.708245,0,mast_20250819_093024_219,tester_data\all_tester\mast_20250819_093024_219.wav
-66.031456,-8.989768,0,mast_20250819_093027_239,tester_data\all_tester\mast_20250819_093027_239.wav
-72.31946,0.5517855,0,mast_20250819_093028_233,tester_data\all_tester\mast_20250819_093028_233.wav
-75.96348,1.9558134,0,mast_20250819_093029_221,tester_data\all_tester\mast_20250819_093029_221.wav
-67.051506,-0.41010204,0,mast_20250819_093030_232,tester_data\all_tester\mast_20250819_093030_232.wav
-68.04903,0.55634815,0,mast_20250819_093033_247,tester_data\all_tester\mast_20250819_093033_247.wav
-75.16135,1.3448029,0,mast_20250819_093034_253,tester_data\all_tester\mast_20250819_093034_253.wav
-70.41611,-1.6602565,0,mast_20250819_093035_248,tester_data\all_tester\mast_20250819_093035_248.wav
-65.94481,-7.448216,0,mast_20250819_093036_252,tester_data\all_tester\mast_20250819_093036_252.wav
