x,y,label,group,file
-40.4861,-15.254859,0,mast_20250730_143630_796,tester_data\all_tester\mast_20250730_143630_796.wav
-28.731953,-34.59818,0,mast_20250730_143631_805,tester_data\all_tester\mast_20250730_143631_805.wav
-22.592693,-55.33355,0,mast_20250730_143632_794,tester_data\all_tester\mast_20250730_143632_794.wav
-23.264484,-54.062824,0,mast_20250730_143633_797,tester_data\all_tester\mast_20250730_143633_797.wav
-37.933784,-14.554731,0,mast_20250730_143634_791,tester_data\all_tester\mast_20250730_143634_791.wav
-33.63778,-28.47307,0,mast_20250730_143635_786,tester_data\all_tester\mast_20250730_143635_786.wav
-29.156927,-49.808273,0,mast_20250730_143636_794,tester_data\all_tester\mast_20250730_143636_794.wav
-26.068066,-55.636864,0,mast_20250730_143637_784,tester_data\all_tester\mast_20250730_143637_784.wav
-26.559053,-50.72738,0,mast_20250730_143638_794,tester_data\all_tester\mast_20250730_143638_794.wav
-39.082893,-15.581824,0,mast_20250730_143639_790,tester_data\all_tester\mast_20250730_143639_790.wav
-28.203491,-34.25616,0,mast_20250730_143640_779,tester_data\all_tester\mast_20250730_143640_779.wav
-25.773464,-53.696156,0,mast_20250730_143641_786,tester_data\all_tester\mast_20250730_143641_786.wav
-25.265108,-54.49408,0,mast_20250730_143642_780,tester_data\all_tester\mast_20250730_143642_780.wav
-28.681152,-34.49104,0,mast_20250730_143643_787,tester_data\all_tester\mast_20250730_143643_787.wav
-26.859163,-31.33227,0,mast_20250730_143644_792,tester_data\all_tester\mast_20250730_143644_792.wav
-28.629747,-49.435787,0,mast_20250730_143645_797,tester_data\all_tester\mast_20250730_143645_797.wav
-26.105417,-55.314182,0,mast_20250730_143646_795,tester_data\all_tester\mast_20250730_143646_795.wav
-27.086168,-51.322178,0,mast_20250730_143647_805,tester_data\all_tester\mast_20250730_143647_805.wav
-31.23804,-30.029917,0,mast_20250730_143648_791,tester_data\all_tester\mast_20250730_143648_791.wav
-31.359613,-30.08702,0,mast_20250730_143649_788,tester_data\all_tester\mast_20250730_143649_788.wav
