idx,label,group,dbscan_label,flag_near_env_density,flag_noise,remove_db
0,0,mast_20250730_143630_796,0,True,False,True
1,0,mast_20250730_143631_805,1,False,False,False
2,0,mast_20250730_143632_794,1,False,False,False
3,0,mast_20250730_143633_797,2,False,False,False
4,0,mast_20250730_143634_791,-1,False,True,True
5,0,mast_20250730_143635_786,0,True,False,True
6,0,mast_20250730_143636_794,1,False,False,False
7,0,mast_20250730_143637_784,-1,False,True,True
8,0,mast_20250730_143638_794,2,False,False,False
9,0,mast_20250730_143639_790,0,True,False,True
10,0,mast_20250730_143640_779,1,False,False,False
11,0,mast_20250730_143641_786,1,False,False,False
12,0,mast_20250730_143642_780,2,False,False,False
13,0,mast_20250730_143643_787,2,False,False,False
14,0,mast_20250730_143644_792,3,False,False,False
15,0,mast_20250730_143645_797,1,False,False,False
16,0,mast_20250730_143646_795,1,False,False,False
17,0,mast_20250730_143647_805,2,False,False,False
18,0,mast_20250730_143648_791,0,True,False,True
19,0,mast_20250730_143649_788,3,False,False,False
20,0,mast_20250730_143650_790,1,False,False,False
21,0,mast_20250730_143651_785,2,False,False,False
22,0,mast_20250730_143652_794,2,False,False,False
23,0,mast_20250730_143653_785,-1,False,True,True
24,0,mast_20250730_143654_776,1,False,False,False
25,0,mast_20250730_143655_783,1,False,False,False
26,0,mast_20250730_143656_775,2,False,False,False
27,0,mast_20250730_143657_788,-1,False,True,True
28,0,mast_20250730_143658_777,0,True,False,True
29,0,mast_20250730_143659_800,1,False,False,False
30,0,mast_20250730_143700_794,-1,False,True,True
31,0,mast_20250730_143701_799,2,False,False,False
32,0,mast_20250730_143702_794,-1,False,True,True
33,0,mast_20250730_143703_797,3,False,False,False
34,0,mast_20250730_143704_791,1,False,False,False
35,0,mast_20250730_143705_785,2,False,False,False
36,0,mast_20250730_143706_788,2,False,False,False
37,0,mast_20250730_143707_781,0,True,False,True
38,0,mast_20250730_143708_795,1,False,False,False
39,0,mast_20250730_143709_786,1,False,False,False
40,0,mast_20250730_143710_775,2,False,False,False
41,0,mast_20250730_143711_784,-1,False,True,True
42,0,mast_20250730_143712_774,3,False,False,False
43,0,mast_20250730_143713_787,1,False,False,False
44,0,mast_20250730_143714_794,2,False,False,False
45,0,mast_20250730_143715_802,2,False,False,False
46,0,mast_20250730_143716_791,0,True,False,True
47,0,mast_20250730_143717_803,1,False,False,False
48,0,mast_20250730_143718_794,1,False,False,False
49,0,mast_20250730_143719_787,2,False,False,False
50,0,mast_20250730_143720_791,0,True,False,True
51,0,mast_20250730_143721_783,3,False,False,False
52,0,mast_20250730_143722_787,1,False,False,False
53,0,mast_20250730_143723_782,2,False,False,False
54,0,mast_20250730_143724_789,2,False,False,False
55,0,mast_20250730_143725_786,0,True,False,True
56,0,mast_20250730_143726_774,1,False,False,False
57,0,mast_20250730_143727_784,1,False,False,False
58,0,mast_20250730_143728_772,2,False,False,False
59,0,mast_20250730_143729_801,-1,False,True,True
60,0,mast_20250730_143730_794,0,True,False,True
61,0,mast_20250730_143731_799,1,False,False,False
62,0,mast_20250730_143732_792,-1,False,True,True
63,0,mast_20250730_143733_796,2,False,False,False
64,0,mast_20250730_143734_791,0,True,False,True
65,0,mast_20250730_143735_786,1,False,False,False
66,0,mast_20250730_143736_790,1,False,False,False
67,0,mast_20250730_143737_785,2,False,False,False
68,0,mast_20250730_143738_787,-1,False,True,True
69,0,mast_20250730_143739_787,0,True,False,True
70,0,mast_20250730_143740_772,1,False,False,False
71,0,mast_20250730_143741_783,1,False,False,False
72,0,mast_20250730_143742_779,2,False,False,False
73,0,mast_20250730_143743_779,0,True,False,True
74,0,mast_20250730_143744_791,3,False,False,False
75,0,mast_20250730_143745_802,1,False,False,False
76,0,mast_20250730_143746_795,2,False,False,False
77,0,mast_20250730_143747_802,2,False,False,False
78,0,mast_20250730_143748_792,0,True,False,True
79,0,mast_20250730_143749_796,1,False,False,False
80,0,mast_20250730_143750_795,1,False,False,False
81,0,mast_20250730_143751_781,2,False,False,False
82,0,mast_20250730_143752_792,-1,False,True,True
83,0,mast_20250730_143753_784,0,True,False,True
84,0,mast_20250730_143754_793,1,False,False,False
85,0,mast_20250730_143755_784,2,False,False,False
86,0,mast_20250730_143756_777,2,False,False,False
87,0,mast_20250730_143757_784,0,True,False,True
88,0,mast_20250730_143758_777,1,False,False,False
89,0,mast_20250730_143759_803,1,False,False,False
90,0,mast_20250730_143800_796,2,False,False,False
91,0,mast_20250730_143801_801,2,False,False,False
92,0,mast_20250730_143802_790,0,True,False,True
93,0,mast_20250730_143803_794,1,False,False,False
94,0,mast_20250730_143804_791,-1,False,True,True
95,0,mast_20250730_143805_782,2,False,False,False
96,0,mast_20250730_143806_793,0,True,False,True
97,0,mast_20250730_143807_785,3,False,False,False
98,0,mast_20250730_143808_795,1,False,False,False
99,0,mast_20250730_143809_786,2,False,False,False
100,0,mast_20250730_143810_775,2,False,False,False
101,0,mast_20250730_143811_786,0,True,False,True
102,0,mast_20250730_143812_776,1,False,False,False
103,0,mast_20250730_143813_782,1,False,False,False
104,0,mast_20250730_143814_810,2,False,False,False
105,0,mast_20250730_143815_803,0,True,False,True
106,0,mast_20250730_143816_791,3,False,False,False
107,0,mast_20250730_143817_798,1,False,False,False
108,0,mast_20250730_143818_790,2,False,False,False
109,0,mast_20250730_143819_796,2,False,False,False
110,0,mast_20250730_143820_785,0,True,False,True
111,0,mast_20250730_143821_783,1,False,False,False
112,0,mast_20250730_143822_792,1,False,False,False
113,0,mast_20250730_143823_784,2,False,False,False
114,0,mast_20250730_143824_791,-1,False,True,True
115,0,mast_20250730_143825_787,3,False,False,False
116,0,mast_20250730_143826_771,1,False,False,False
117,0,mast_20250730_143827_784,-1,False,True,True
118,0,mast_20250730_143828_778,2,False,False,False
119,0,mast_20250730_143829_794,0,True,False,True
120,0,mast_20250730_143830_794,1,False,False,False
121,0,mast_20250730_143831_804,1,False,False,False
122,0,mast_20250730_143832_788,2,False,False,False
123,0,mast_20250730_143833_799,-1,False,True,True
124,0,mast_20250730_143834_794,0,True,False,True
125,0,mast_20250730_143835_782,1,False,False,False
126,0,mast_20250730_143836_793,-1,False,True,True
127,0,mast_20250730_143837_781,2,False,False,False
128,0,mast_20250730_143838_794,0,True,False,True
129,0,mast_20250730_143839_785,1,False,False,False
130,0,mast_20250730_143840_778,1,False,False,False
131,0,mast_20250730_143841_781,2,False,False,False
132,0,mast_20250730_143842_777,2,False,False,False
133,0,mast_20250730_143843_784,0,True,False,True
134,0,mast_20250730_143844_809,1,False,False,False
135,0,mast_20250730_143845_802,1,False,False,False
136,0,mast_20250730_143846_792,2,False,False,False
137,0,mast_20250730_143847_802,-1,False,True,True
138,0,mast_20250730_143848_790,3,False,False,False
139,0,mast_20250730_143849_801,1,False,False,False
140,0,mast_20250730_143850_794,2,False,False,False
141,0,mast_20250730_143851_784,2,False,False,False
142,0,mast_20250730_143852_790,0,True,False,True
143,0,mast_20250730_143853_782,1,False,False,False
144,0,mast_20250730_143854_793,1,False,False,False
145,0,mast_20250730_143855_782,2,False,False,False
146,0,mast_20250730_143856_775,2,False,False,False
147,0,mast_20250730_143857_785,0,True,False,True
148,0,mast_20250730_143858_775,1,False,False,False
149,0,mast_20250730_143859_799,-1,False,True,True
150,0,mast_20250819_093017_236,4,False,False,False
151,0,mast_20250819_093018_235,9,False,False,False
152,0,mast_20250819_093019_243,5,False,False,False
153,0,mast_20250819_093020_231,8,False,False,False
154,0,mast_20250819_093021_235,4,False,False,False
155,0,mast_20250819_093022_236,4,False,False,False
156,0,mast_20250819_093023_225,7,False,False,False
157,0,mast_20250819_093024_219,-1,False,True,True
158,0,mast_20250819_093025_228,5,False,False,False
159,0,mast_20250819_093026_228,6,False,False,False
160,0,mast_20250819_093027_239,4,False,False,False
161,0,mast_20250819_093028_233,4,False,False,False
162,0,mast_20250819_093029_221,7,False,False,False
163,0,mast_20250819_093030_232,5,False,False,False
164,0,mast_20250819_093031_257,8,False,False,False
165,0,mast_20250819_093032_255,6,False,False,False
166,0,mast_20250819_093033_247,4,False,False,False
167,0,mast_20250819_093034_253,7,False,False,False
168,0,mast_20250819_093035_248,9,False,False,False
169,0,mast_20250819_093036_252,5,False,False,False
170,0,mast_20250819_093037_232,8,False,False,False
171,0,mast_20250819_093038_262,4,False,False,False
172,0,mast_20250819_093039_236,4,False,False,False
173,0,mast_20250819_093040_234,4,False,False,False
174,0,mast_20250819_093041_256,9,False,False,False
175,0,mast_20250819_093042_235,5,False,False,False
176,0,mast_20250819_093043_250,8,False,False,False
177,0,mast_20250819_093044_225,4,False,False,False
178,0,mast_20250819_093045_216,4,False,False,False
179,0,mast_20250819_093046_250,7,False,False,False
180,0,mast_20250819_093047_262,5,False,False,False
181,0,mast_20250819_093048_249,5,False,False,False
182,0,mast_20250819_093049_234,6,False,False,False
183,0,mast_20250819_093050_252,4,False,False,False
184,0,mast_20250819_093051_237,4,False,False,False
185,0,mast_20250819_093052_252,7,False,False,False
186,0,mast_20250819_093053_240,5,False,False,False
187,0,mast_20250819_093054_233,8,False,False,False
188,0,mast_20250819_093055_246,4,False,False,False
189,0,mast_20250819_093056_230,4,False,False,False
190,0,mast_20250819_093057_238,7,False,False,False
191,0,mast_20250819_093058_230,9,False,False,False
192,0,mast_20250819_093059_224,5,False,False,False
193,0,mast_20250819_093100_229,8,False,False,False
194,0,mast_20250819_093101_253,4,False,False,False
195,0,mast_20250819_093102_249,4,False,False,False
196,0,mast_20250819_093103_346,7,False,False,False
197,0,mast_20250819_093104_364,5,False,False,False
198,0,mast_20250819_093105_364,5,False,False,False
199,0,mast_20250819_093106_363,6,False,False,False
200,0,mast_20250819_093107_355,4,False,False,False
201,0,mast_20250819_093108_346,7,False,False,False
202,0,mast_20250819_093109_342,9,False,False,False
203,0,mast_20250819_093110_352,5,False,False,False
204,0,mast_20250819_093111_361,8,False,False,False
205,0,mast_20250819_093112_348,4,False,False,False
206,0,mast_20250819_093113_342,4,False,False,False
207,0,mast_20250819_093114_344,4,False,False,False
208,0,mast_20250819_093115_340,9,False,False,False
209,0,mast_20250819_093116_372,5,False,False,False
210,0,mast_20250819_093117_366,8,False,False,False
211,0,mast_20250819_093118_354,4,False,False,False
212,0,mast_20250819_093119_363,4,False,False,False
213,0,mast_20250819_093120_356,7,False,False,False
214,0,mast_20250819_093121_355,5,False,False,False
215,0,mast_20250819_093122_360,5,False,False,False
216,0,mast_20250819_093123_352,6,False,False,False
217,0,mast_20250819_093124_354,4,False,False,False
218,0,mast_20250819_093125_346,4,False,False,False
219,0,mast_20250819_093126_363,7,False,False,False
220,0,mast_20250819_093127_336,5,False,False,False
221,0,mast_20250819_093128_337,5,False,False,False
222,0,mast_20250819_093129_349,6,False,False,False
223,0,mast_20250819_093130_339,4,False,False,False
224,0,mast_20250819_093131_366,7,False,False,False
225,0,mast_20250819_093132_352,9,False,False,False
226,0,mast_20250819_093133_347,5,False,False,False
227,0,mast_20250819_093134_353,8,False,False,False
228,0,mast_20250819_093135_360,4,False,False,False
229,0,mast_20250819_093136_353,4,False,False,False
230,0,mast_20250819_093137_344,4,False,False,False
231,0,mast_20250819_093138_361,9,False,False,False
232,0,mast_20250819_093139_335,5,False,False,False
233,0,mast_20250822_143751_229,10,False,False,False
