Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3
2025-08-03T21:56:15,elevator,NORMAL,45.5,47.5,48.0,100.0
2025-08-03T21:56:15,gripper,NORMAL,44.9,48.0,47.5,143.5
2025-08-03T21:56:17,gripper,NORMAL,44.7,48.0,100.0,200.0
2025-08-03T21:56:18,gripper,NORMAL,44.6,100.0,200.0,48.0
2025-08-03T21:56:19,gripper,ANOMALY,45.9,143.5,300.0,239.0
2025-08-03T21:56:20,gripper,ANOMALY,45.8,48.0,100.0,143.0
2025-08-03T21:56:21,elevator,NORMAL,44.4,48.0,100.0,144.0
2025-08-03T21:56:22,gripper,NORMAL,44.5,48.0,100.0,73.0
2025-08-03T21:56:23,elevator,NORMAL,44.5,100.0,47.5,200.0
2025-08-03T21:56:24,elevator,NORMAL,45.0,48.0,47.5,200.0
2025-08-03T21:56:25,elevator,NORMAL,45.2,48.0,47.5,200.0
2025-08-03T21:56:26,gripper,NORMAL,45.0,47.5,100.0,143.0
2025-08-03T21:56:27,gripper,NORMAL,45.7,48.0,47.5,100.0
2025-08-03T21:56:28,gripper,NORMAL,45.5,47.5,48.0,100.0
2025-08-03T21:56:29,environment,NORMAL,45.4,47.5,100.0,48.0
2025-08-03T21:56:30,gripper,NORMAL,46.1,48.0,47.5,100.0
2025-08-03T21:56:31,gripper,NORMAL,45.7,47.5,48.0,100.0
2025-08-03T21:56:32,gripper,NORMAL,45.5,47.5,48.0,100.0
2025-08-03T21:56:33,gripper,NORMAL,45.7,48.0,47.5,100.0
2025-08-03T21:56:34,gripper,NORMAL,45.0,47.5,100.0,48.0
2025-08-03T21:56:35,gripper,NORMAL,45.3,48.0,47.5,100.0
2025-08-03T21:56:36,elevator,NORMAL,45.7,47.5,48.0,100.0
2025-08-03T21:56:37,gripper,NORMAL,45.4,47.5,48.0,143.0
2025-08-03T21:56:38,gripper,NORMAL,45.4,47.5,48.0,143.0
2025-08-03T21:56:39,elevator,NORMAL,45.5,47.5,48.0,143.0
2025-08-03T21:56:40,gripper,NORMAL,45.8,47.5,48.0,143.0
2025-08-03T21:56:41,environment,ANOMALY,59.0,48.0,47.0,47.5
2025-08-03T21:56:42,environment,ANOMALY,59.1,47.5,48.0,143.0
2025-08-03T21:56:43,elevator,NORMAL,45.7,48.0,47.5,100.0
2025-08-03T21:56:44,gripper,NORMAL,45.1,47.5,100.0,143.0
2025-08-03T21:56:45,gripper,NORMAL,46.1,48.0,47.5,143.0
2025-08-03T21:56:46,gripper,NORMAL,45.8,47.5,143.0,48.0
2025-08-03T21:56:47,gripper,NORMAL,45.6,47.5,48.0,143.0
2025-08-03T21:56:48,elevator,NORMAL,45.6,48.0,47.5,100.0
2025-08-03T21:56:49,elevator,NORMAL,45.2,47.5,100.0,143.0
2025-08-03T21:56:50,environment,NORMAL,65.4,48.0,100.0,95.5
2025-08-03T21:56:51,elevator,NORMAL,68.9,109.5,108.5,107.5
2025-08-03T21:56:52,gripper,NORMAL,66.3,109.0,106.5,199.5
2025-08-03T21:56:53,gripper,ANOMALY,47.6,47.5,48.0,100.0
2025-08-03T21:56:54,elevator,NORMAL,45.9,47.5,48.0,143.0
2025-08-03T21:56:56,elevator,NORMAL,45.4,47.5,143.0,100.0
2025-08-03T21:56:57,gripper,NORMAL,64.1,48.0,320.5,300.0
2025-08-03T21:56:58,gripper,NORMAL,67.4,336.5,334.5,335.5
2025-08-03T21:56:59,elevator,NORMAL,64.8,143.0,47.0,48.0
2025-08-03T21:57:00,gripper,NORMAL,66.0,48.0,532.0,533.5
2025-08-03T21:57:01,gripper,NORMAL,66.0,47.5,532.0,533.5
2025-08-03T21:57:02,elevator,NORMAL,64.7,48.0,143.0,100.0
2025-08-03T21:57:03,elevator,NORMAL,68.0,48.0,100.0,408.5
2025-08-03T21:57:04,elevator,NORMAL,65.2,200.0,199.5,424.0
2025-08-03T21:57:05,gripper,NORMAL,62.9,18.5,47.0,21.5
2025-08-03T21:57:06,elevator,NORMAL,67.0,71.0,39.5,47.5
2025-08-03T21:57:07,gripper,NORMAL,68.2,85.0,53.5,87.0
