x,y,label,group
-8.725267,-53.850113,0,mast_20250730_143630_796
-9.1234455,-33.678833,0,mast_20250730_143631_805
-7.9427733,-30.692091,0,mast_20250730_143632_794
-35.26022,-11.356626,0,mast_20250730_143633_797
-42.45143,-9.234631,0,mast_20250730_143634_791
-8.178452,-51.94315,0,mast_20250730_143635_786
-6.5423017,-30.9866,0,mast_20250730_143636_794
-13.450614,-27.432083,0,mast_20250730_143637_784
-36.496998,-10.734329,0,mast_20250730_143638_794
-7.4157104,-56.267902,0,mast_20250730_143639_790
-9.819173,-35.180695,0,mast_20250730_143640_779
-7.2296166,-31.807281,0,mast_20250730_143641_786
-34.076878,-13.230721,0,mast_20250730_143642_780
-38.923138,-8.785896,0,mast_20250730_143643_787
-9.0798855,-48.852108,0,mast_20250730_143644_792
-7.904452,-31.925896,0,mast_20250730_143645_797
-10.149144,-31.588572,0,mast_20250730_143646_795
-35.86453,-11.184569,0,mast_20250730_143647_805
-10.114839,-53.41686,0,mast_20250730_143648_791
-9.546172,-46.803288,0,mast_20250730_143649_788
-5.370327,-31.34026,0,mast_20250730_143650_790
-32.926945,-12.900243,0,mast_20250730_143651_785
-37.058926,-8.896739,0,mast_20250730_143652_794
-5.7158275,-55.680073,0,mast_20250730_143653_785
-9.201272,-33.098644,0,mast_20250730_143654_776
-7.0117,-30.332533,0,mast_20250730_143655_783
-34.111263,-11.659139,0,mast_20250730_143656_775
-42.22674,-8.181281,0,mast_20250730_143657_788
-6.524811,-52.247288,0,mast_20250730_143658_777
-4.892684,-31.023317,0,mast_20250730_143659_800
-13.610512,-29.067816,0,mast_20250730_143700_794
-37.011227,-9.55189,0,mast_20250730_143701_799
-13.572741,-55.06796,0,mast_20250730_143702_794
-8.637294,-46.60859,0,mast_20250730_143703_797
-6.405726,-30.789766,0,mast_20250730_143704_791
-33.50815,-11.101224,0,mast_20250730_143705_785
-39.270588,-8.2042,0,mast_20250730_143706_788
-6.6639485,-52.111374,0,mast_20250730_143707_781
-6.3800445,-32.86041,0,mast_20250730_143708_795
-12.616256,-29.564,0,mast_20250730_143709_786
-36.80594,-10.044848,0,mast_20250730_143710_775
-13.814925,-55.11706,0,mast_20250730_143711_784
-8.62086,-46.667027,0,mast_20250730_143712_774
-5.7454567,-30.84595,0,mast_20250730_143713_787
-32.41133,-12.206596,0,mast_20250730_143714_794
-39.593292,-9.086428,0,mast_20250730_143715_802
-6.83882,-52.342083,0,mast_20250730_143716_791
-7.738023,-34.0504,0,mast_20250730_143717_803
-10.904135,-30.716064,0,mast_20250730_143718_794
-35.334892,-10.111734,0,mast_20250730_143719_787
-12.631771,-56.257244,0,mast_20250730_143720_791
-9.06215,-48.292942,0,mast_20250730_143721_783
-5.885528,-31.878567,0,mast_20250730_143722_787
-31.423851,-12.491298,0,mast_20250730_143723_782
-38.06269,-10.266404,0,mast_20250730_143724_789
-7.6402054,-53.981617,0,mast_20250730_143725_786
-9.137802,-34.340683,0,mast_20250730_143726_774
-8.459854,-30.931288,0,mast_20250730_143727_784
-34.912674,-11.154662,0,mast_20250730_143728_772
-41.926376,-8.529963,0,mast_20250730_143729_801
-7.749253,-52.129677,0,mast_20250730_143730_794
-6.5211644,-31.963457,0,mast_20250730_143731_799
-13.717035,-27.154848,0,mast_20250730_143732_792
-37.488274,-10.203947,0,mast_20250730_143733_796
-8.911523,-53.82354,0,mast_20250730_143734_791
-9.77069,-35.242012,0,mast_20250730_143735_786
-7.5824304,-30.748251,0,mast_20250730_143736_790
-33.679935,-12.369506,0,mast_20250730_143737_785
-42.160854,-8.163849,0,mast_20250730_143738_787
-7.8978367,-52.25766,0,mast_20250730_143739_787
-7.9028034,-31.839174,0,mast_20250730_143740_772
-10.283581,-31.366047,0,mast_20250730_143741_783
-35.30691,-12.081799,0,mast_20250730_143742_779
-10.45289,-53.46437,0,mast_20250730_143743_779
-9.225886,-47.21449,0,mast_20250730_143744_791
-5.775733,-31.837605,0,mast_20250730_143745_802
-33.190983,-12.600238,0,mast_20250730_143746_795
-38.275738,-8.323377,0,mast_20250730_143747_802
-6.8335037,-51.06102,0,mast_20250730_143748_792
-8.93057,-32.350582,0,mast_20250730_143749_796
-6.616749,-29.85159,0,mast_20250730_143750_795
-33.99525,-11.303277,0,mast_20250730_143751_781
-43.229195,-8.701039,0,mast_20250730_143752_792
-8.274252,-51.252647,0,mast_20250730_143753_784
-5.853794,-32.5192,0,mast_20250730_143754_793
-32.178272,-12.823045,0,mast_20250730_143755_784
-37.628662,-9.278121,0,mast_20250730_143756_777
-11.270403,-60.71507,0,mast_20250730_143757_784
-9.82564,-33.08084,0,mast_20250730_143758_777
-5.874642,-29.83262,0,mast_20250730_143759_803
-33.150494,-11.727177,0,mast_20250730_143800_796
-40.084023,-8.4727335,0,mast_20250730_143801_801
-6.4189167,-50.9874,0,mast_20250730_143802_790
-5.3970685,-32.257523,0,mast_20250730_143803_794
-13.020284,-29.288317,0,mast_20250730_143804_791
-36.394463,-9.285296,0,mast_20250730_143805_782
-14.267815,-57.847767,0,mast_20250730_143806_793
-8.645825,-46.655132,0,mast_20250730_143807_785
-5.5926237,-30.021696,0,mast_20250730_143808_795
-32.86499,-11.943,0,mast_20250730_143809_786
-39.088203,-9.442079,0,mast_20250730_143810_775
-5.7995167,-55.68533,0,mast_20250730_143811_786
-6.9530444,-33.51103,0,mast_20250730_143812_776
-11.568198,-30.314201,0,mast_20250730_143813_782
-35.648186,-9.954684,0,mast_20250730_143814_810
-13.276055,-56.80858,0,mast_20250730_143815_803
-8.570252,-48.43199,0,mast_20250730_143816_791
-5.7707148,-31.183165,0,mast_20250730_143817_798
-31.769802,-12.30277,0,mast_20250730_143818_790
-38.90419,-9.22125,0,mast_20250730_143819_796
-7.979459,-53.039192,0,mast_20250730_143820_785
-8.387223,-34.089073,0,mast_20250730_143821_783
-8.858945,-31.001173,0,mast_20250730_143822_792
