idx,group,true_label,lof_score
434,mast_20250822_151143_591,0,8.817208290100098
1407,gripper_20250819_093556_837,2,7.625959873199463
1405,gripper_20250819_093554_796,2,7.546872615814209
1406,gripper_20250819_093555_797,2,7.438000679016113
1404,gripper_20250819_093553_807,2,7.421637535095215
1403,gripper_20250819_093552_795,2,7.369412899017334
1402,gripper_20250819_093551_805,2,7.232097625732422
1401,gripper_20250819_093550_783,2,7.032313346862793
2479,environment_20250822_140151_677,4,5.18283748626709
2480,environment_20250822_140152_695,4,5.170809745788574
2481,environment_20250822_140153_702,4,5.116184234619141
1971,shuttle_20250822_142417_372,3,4.977003574371338
2000,shuttle_20250822_142446_364,3,4.940394878387451
2029,shuttle_20250822_142515_359,3,4.879965305328369
157,mast_20250819_093024_219,0,3.3027172088623047
176,mast_20250819_093043_250,0,3.1657609939575195
2478,environment_20250822_140150_652,4,3.07685923576355
1342,gripper_20250819_093451_800,2,2.732957363128662
1399,gripper_20250819_093548_813,2,2.6343369483947754
1395,gripper_20250819_093544_800,2,2.6227986812591553
1334,gripper_20250819_093443_811,2,2.619295358657837
1330,gripper_20250819_093439_782,2,2.6065752506256104
1384,gripper_20250819_093533_801,2,2.548474073410034
1319,gripper_20250819_093428_803,2,2.4719135761260986
1388,gripper_20250819_093537_812,2,2.4149482250213623
174,mast_20250819_093041_256,0,2.41330885887146
214,mast_20250819_093121_355,0,2.218324661254883
231,mast_20250819_093138_361,0,2.184081792831421
210,mast_20250819_093117_366,0,2.0424387454986572
62,mast_20250730_143732_792,0,1.9723622798919678
117,mast_20250730_143827_784,0,1.9661451578140259
126,mast_20250730_143836_793,0,1.9418160915374756
7,mast_20250730_143637_784,0,1.904113531112671
776,elevator_20250822_141851_785,1,1.8248265981674194
153,mast_20250819_093020_231,0,1.814561128616333
1376,gripper_20250819_093525_785,2,1.8056854009628296
1380,gripper_20250819_093529_820,2,1.7897475957870483
1323,gripper_20250819_093432_792,2,1.742854118347168
782,elevator_20250822_141857_805,1,1.7103099822998047
1315,gripper_20250819_093424_789,2,1.7102981805801392
151,mast_20250819_093018_235,0,1.703922986984253
87,mast_20250730_143757_784,0,1.7003319263458252
849,elevator_20250822_142004_828,1,1.6981689929962158
30,mast_20250730_143700_794,0,1.687156081199646
96,mast_20250730_143806_793,0,1.6800100803375244
193,mast_20250819_093100_229,0,1.6615499258041382
520,elevator_20250730_145622_915,1,1.6473642587661743
149,mast_20250730_143859_799,0,1.633563756942749
1468,gripper_20250822_141528_839,2,1.6139485836029053
208,mast_20250819_093115_340,0,1.6044580936431885
506,elevator_20250730_145608_914,1,1.6016855239868164
1416,gripper_20250822_141436_810,2,1.6015307903289795
1480,gripper_20250822_141540_826,2,1.5994690656661987
1428,gripper_20250822_141448_837,2,1.5976754426956177
593,elevator_20250730_145735_919,1,1.5964653491973877
500,elevator_20250730_145602_929,1,1.5931843519210815
94,mast_20250730_143804_791,0,1.5913009643554688
486,elevator_20250730_145548_915,1,1.5865604877471924
613,elevator_20250730_145755_907,1,1.5812766551971436
1503,gripper_20250822_141603_835,2,1.5804493427276611
553,elevator_20250730_145655_902,1,1.5779720544815063
567,elevator_20250730_145709_904,1,1.5748498439788818
1451,gripper_20250822_141511_816,2,1.571301817893982
573,elevator_20250730_145715_919,1,1.5697994232177734
1497,gripper_20250822_141557_851,2,1.5666987895965576
785,elevator_20250822_141900_813,1,1.5644350051879883
526,elevator_20250730_145628_929,1,1.5626027584075928
1474,gripper_20250822_141534_840,2,1.556481122970581
620,elevator_20250730_145802_932,1,1.5549156665802002
533,elevator_20250730_145635_921,1,1.55116868019104
1968,shuttle_20250822_142414_378,3,1.5441796779632568
2749,mast_bearing_broken_20250822_141155_142,5,1.543121337890625
546,elevator_20250730_145648_913,1,1.5412020683288574
600,elevator_20250730_145742_912,1,1.5341684818267822
587,elevator_20250730_145729_924,1,1.5331791639328003
788,elevator_20250822_141903_805,1,1.53109872341156
1422,gripper_20250822_141442_832,2,1.530989408493042
566,elevator_20250730_145708_916,1,1.5280839204788208
688,elevator_20250819_093842_520,1,1.5248527526855469
39,mast_20250730_143709_786,0,1.5183066129684448
1445,gripper_20250822_141505_837,2,1.516886591911316
1997,shuttle_20250822_142443_372,3,1.5132182836532593
1970,shuttle_20250822_142416_364,3,1.4977471828460693
187,mast_20250819_093054_233,0,1.4868788719177246
798,elevator_20250822_141913_809,1,1.4823379516601562
607,elevator_20250730_145749_919,1,1.4725710153579712
105,mast_20250730_143815_803,0,1.472169280052185
204,mast_20250819_093111_361,0,1.4702116250991821
2750,mast_bearing_broken_20250822_141156_132,5,1.4469962120056152
41,mast_20250730_143711_784,0,1.4392073154449463
2028,shuttle_20250822_142514_374,3,1.4328250885009766
2531,environment_20250822_140243_704,4,1.428128957748413
2026,shuttle_20250822_142512_367,3,1.4120681285858154
1111,elevator_20250822_151924_146,1,1.4115968942642212
2424,environment_20250822_140056_629,4,1.4107441902160645
2427,environment_20250822_140059_615,4,1.4083915948867798
2434,environment_20250822_140106_608,4,1.4032078981399536
2024,shuttle_20250822_142510_361,3,1.3902032375335693
894,elevator_20250822_144851_063,1,1.3865587711334229
2552,mast_bearing_broken_20250819_093024_219,5,1.3838038444519043
2425,environment_20250822_140057_622,4,1.3833787441253662
791,elevator_20250822_141906_806,1,1.3828060626983643
2423,environment_20250822_140055_658,4,1.3786791563034058
2117,shuttle_20250822_145447_429,3,1.3691602945327759
2433,environment_20250822_140105_617,4,1.3645315170288086
2435,environment_20250822_140107_601,4,1.3494670391082764
2430,environment_20250822_140102_608,4,1.3468658924102783
2429,environment_20250822_140101_610,4,1.346557378768921
2148,shuttle_20250822_145518_422,3,1.342260718345642
550,elevator_20250730_145652_908,1,1.3282744884490967
1149,gripper_20250730_145037_879,2,1.3266432285308838
2682,mast_bearing_broken_20250822_141048_072,5,1.3107073307037354
796,elevator_20250822_141911_805,1,1.308490514755249
483,elevator_20250730_145545_922,1,1.3060472011566162
1391,gripper_20250819_093540_798,2,1.3032703399658203
870,elevator_20250822_144827_053,1,1.3028714656829834
797,elevator_20250822_141912_833,1,1.3015849590301514
713,elevator_20250819_093907_526,1,1.3003114461898804
2661,mast_bearing_broken_20250822_141027_078,5,1.2972137928009033
2739,mast_bearing_broken_20250822_141145_074,5,1.2952852249145508
2745,mast_bearing_broken_20250822_141151_084,5,1.2895362377166748
1995,shuttle_20250822_142441_363,3,1.2825340032577515
1718,gripper_20250822_151507_113,2,1.279550313949585
1703,gripper_20250822_151452_113,2,1.2776985168457031
1999,shuttle_20250822_142445_362,3,1.2757371664047241
2626,mast_bearing_broken_20250819_093138_361,5,1.2710051536560059
2724,mast_bearing_broken_20250822_141130_084,5,1.2674546241760254
2611,mast_bearing_broken_20250819_093123_352,5,1.2616674900054932
1966,shuttle_20250822_142412_381,3,1.2516002655029297
2676,mast_bearing_broken_20250822_141042_083,5,1.2505894899368286
1975,shuttle_20250822_142421_388,3,1.2437399625778198
1998,shuttle_20250822_142444_367,3,1.24087393283844
2128,shuttle_20250822_145458_440,3,1.235439658164978
2159,shuttle_20250822_145529_426,3,1.2039270401000977
2057,shuttle_20250822_145347_424,3,1.2007571458816528
2242,shuttle_20250822_152403_004,3,1.1961402893066406
2030,shuttle_20250822_142516_359,3,1.1922227144241333
2022,shuttle_20250822_142508_361,3,1.1849839687347412
1887,shuttle_20250730_150546_833,3,1.183525800704956
1993,shuttle_20250822_142439_378,3,1.1826584339141846
