2025-08-13 11:49:07 | INFO     | __main__             | _load_config         | Configuration loaded from config.yaml
2025-08-13 11:49:07 | INFO     | __main__             | _init_connection_pool | Connection pool initialized successfully
2025-08-13 11:49:07 | INFO     | __main__             | __init__             | CSV source directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-13 11:49:07 | INFO     | __main__             | __init__             | Export directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-13 11:49:07 | INFO     | __main__             | init_db              | Database initialized successfully
2025-08-13 11:49:07 | INFO     | __main__             | start                | Starting CSV processing service every 1 minutes...
2025-08-13 11:49:07 | INFO     | __main__             | start                | CSV source directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-13 11:49:07 | INFO     | __main__             | start                | Delete after export: True
2025-08-13 11:49:07 | ERROR    | __main__             | get_connection       | Database operation failed: tuple index out of range
2025-08-13 11:49:07 | ERROR    | __main__             | _import_rows_to_db   | Failed to import rows to database: tuple index out of range
2025-08-13 11:49:07 | ERROR    | __main__             | _process_single_csv  | Failed to process CSV file D:\NOPPALIT\History\Saturn_Acc_Logs\offline_results.csv: tuple index out of range
2025-08-13 11:49:07 | ERROR    | __main__             | process_all_csv_files | Failed to process offline_results.csv: tuple index out of range
2025-08-13 12:21:19 | WARNING  | __main__             | _parse_csv_row       | Failed to parse CSV row: could not convert string to float: 'Normal'
2025-08-13 12:21:20 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250813_114530.csv
2025-08-13 12:21:20 | WARNING  | __main__             | _parse_csv_row       | Failed to parse CSV row: could not convert string to float: 'Normal'
2025-08-13 12:21:20 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250813_114531.csv
2025-08-13 12:21:20 | WARNING  | __main__             | _parse_csv_row       | Failed to parse CSV row: could not convert string to float: 'Normal'
2025-08-13 12:21:20 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250813_114532.csv
2025-08-13 12:21:20 | WARNING  | __main__             | _parse_csv_row       | Failed to parse CSV row: could not convert string to float: 'Normal'
2025-08-13 12:21:20 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250813_114533.csv
2025-08-13 12:21:20 | WARNING  | __main__             | _parse_csv_row       | Failed to parse CSV row: could not convert string to float: 'Normal'
