2025-08-11 11:18:17 | INFO     | __main__             | _load_config         | Configuration loaded from config.yaml
2025-08-11 11:18:17 | INFO     | __main__             | _init_connection_pool | Connection pool initialized successfully
2025-08-11 11:18:17 | INFO     | __main__             | __init__             | Export directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-11 11:18:18 | INFO     | __main__             | init_db              | Database initialized successfully
2025-08-11 11:18:18 | INFO     | __main__             | start                | Starting data rotation service every 5 minutes...
2025-08-11 11:18:18 | INFO     | __main__             | start                | Export directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-11 11:18:18 | INFO     | __main__             | start                | Delete after export: True
2025-08-11 11:18:18 | INFO     | __main__             | _export_to_sql       | SQL export file created: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_041818.sql (38,156 bytes)
2025-08-11 11:18:18 | INFO     | __main__             | export_and_rotate    | Exported 189 rows to D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_041818.sql
2025-08-11 11:18:18 | INFO     | __main__             | export_and_rotate    | Deleted 189 rows older than 5 minutes from database
2025-08-11 11:18:18 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_041818.sql
2025-08-11 11:18:18 | INFO     | __main__             | export_and_rotate    | Deleted exported file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_041818.sql
2025-08-11 11:23:18 | INFO     | __main__             | _export_to_sql       | SQL export file created: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042318.sql (34,357 bytes)
2025-08-11 11:23:18 | INFO     | __main__             | export_and_rotate    | Exported 170 rows to D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042318.sql
2025-08-11 11:23:18 | INFO     | __main__             | export_and_rotate    | Deleted 170 rows older than 5 minutes from database
2025-08-11 11:23:18 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042318.sql
2025-08-11 11:23:18 | INFO     | __main__             | export_and_rotate    | Deleted exported file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042318.sql
2025-08-11 11:23:49 | INFO     | __main__             | start                | Service interrupted by user
2025-08-11 11:23:49 | INFO     | __main__             | close                | Connection pool closed
2025-08-11 11:23:49 | INFO     | __main__             | cleanup              | Service cleanup completed
