2025-08-11 11:23:55 | INFO     | export_sql           | _load_config         | Configuration loaded from config.yaml
2025-08-11 11:23:55 | INFO     | export_sql           | _init_connection_pool | Connection pool initialized successfully
2025-08-11 11:23:55 | INFO     | export_sql           | __init__             | Export directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-11 11:23:55 | INFO     | export_sql           | init_db              | Database initialized successfully
2025-08-11 11:23:55 | INFO     | export_sql           | _export_to_sql       | SQL export file created: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042355.sql (26,356 bytes)
2025-08-11 11:23:55 | INFO     | export_sql           | export_and_rotate    | Exported 130 rows to D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042355.sql
2025-08-11 11:23:55 | INFO     | export_sql           | export_and_rotate    | Deleted 130 rows older than 1 minutes from database
2025-08-11 11:23:55 | INFO     | export_sql           | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042355.sql
2025-08-11 11:23:55 | INFO     | export_sql           | export_and_rotate    | Deleted exported file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042355.sql
2025-08-11 11:23:55 | INFO     | file_manager         | _load_config         | Configuration loaded from config.yaml
2025-08-11 11:23:55 | INFO     | file_manager         | _load_config         | Configuration loaded from config.yaml
