idx,label,group,z1,z2,flag_near_env,flag_outlier,remove,dist_to_env_centroid,R_env
0,0,mast_20250730_143630_796,-0.51837736,-62.37644,True,True,True,17.823538,25.05251
1,0,mast_20250730_143631_805,-11.865228,43.60933,False,False,False,96.81742,25.05251
2,0,mast_20250730_143632_794,-16.026,47.15298,False,False,False,100.283226,25.05251
3,0,mast_20250730_143633_797,-4.1100836,41.786087,False,False,False,95.62774,25.05251
4,0,mast_20250730_143634_791,-11.018106,-59.98063,True,True,True,8.329389,25.05251
5,0,mast_20250730_143635_786,-6.1259875,-61.33317,True,True,True,12.650206,25.05251
6,0,mast_20250730_143636_794,-16.785997,44.608273,False,False,False,97.74358,25.05251
7,0,mast_20250730_143637_784,-10.246296,45.777176,False,False,False,99.06039,25.05251
8,0,mast_20250730_143638_794,-1.8965675,40.50149,False,False,False,94.651535,25.05251
9,0,mast_20250730_143639_790,-8.781872,-64.861824,True,True,True,13.648241,25.05251
10,0,mast_20250730_143640_779,-10.463282,42.427555,False,False,False,95.70389,25.05251
11,0,mast_20250730_143641_786,-16.406895,46.36703,False,False,False,99.49904,25.05251
12,0,mast_20250730_143642_780,-4.4875417,42.63276,False,False,False,96.42332,25.05251
13,0,mast_20250730_143643_787,-0.25628656,38.829903,False,False,False,93.25683,25.05251
14,0,mast_20250730_143644_792,-8.168688,-60.63852,True,True,True,10.674468,25.05251
15,0,mast_20250730_143645_797,-13.411351,44.6404,False,False,False,97.79838,25.05251
16,0,mast_20250730_143646_795,-11.647693,45.65324,False,False,False,98.86851,25.05251
17,0,mast_20250730_143647_805,-2.77494,41.094822,False,False,False,95.114655,25.05251
18,0,mast_20250730_143648_791,-8.7641,-63.28559,True,True,True,12.329746,25.05251
19,0,mast_20250730_143649_788,-6.759311,-59.42831,True,True,True,10.9821415,25.05251
20,0,mast_20250730_143650_790,-15.2336645,44.78664,False,False,False,97.91791,25.05251
21,0,mast_20250730_143651_785,-5.4676723,43.069973,False,False,False,96.74842,25.05251
22,0,mast_20250730_143652_794,-1.166788,40.082344,False,False,False,94.34701,25.05251
23,0,mast_20250730_143653_785,-3.8653395,-62.513447,True,True,True,15.147108,25.05251
24,0,mast_20250730_143654_776,-12.859674,44.308052,False,False,False,97.48096,25.05251
25,0,mast_20250730_143655_783,-16.452066,46.26899,False,False,False,99.401306,25.05251
26,0,mast_20250730_143656_775,-2.5483158,41.435337,False,False,False,95.48308,25.05251
27,0,mast_20250730_143657_788,-11.670156,-61.127796,True,True,True,8.981054,25.05251
28,0,mast_20250730_143658_777,-3.9623272,-60.17921,True,True,True,13.739708,25.05251
29,0,mast_20250730_143659_800,-15.215236,44.52517,False,False,False,97.65654,25.05251
30,0,mast_20250730_143700_794,-7.2495995,43.91577,False,False,False,97.41773,25.05251
31,0,mast_20250730_143701_799,-3.1566155,38.92882,False,False,False,92.91687,25.05251
32,0,mast_20250730_143702_794,-10.956211,-62.297047,True,True,True,10.347619,25.05251
33,0,mast_20250730_143703_797,-7.7113175,-56.946327,True,True,True,8.9038925,25.05251
34,0,mast_20250730_143704_791,-16.519306,45.810112,False,False,False,98.94293,25.05251
35,0,mast_20250730_143705_785,-3.6408303,42.933784,False,False,False,96.824585,25.05251
36,0,mast_20250730_143706_788,-1.5239516,38.23486,False,False,False,92.466545,25.05251
37,0,mast_20250730_143707_781,-6.5310493,-61.960716,True,True,True,12.770282,25.05251
38,0,mast_20250730_143708_795,-14.309061,43.936275,False,False,False,97.076935,25.05251
39,0,mast_20250730_143709_786,-11.678489,45.230614,False,False,False,98.44496,25.05251
40,0,mast_20250730_143710_775,-2.558029,39.59105,False,False,False,93.6555,25.05251
41,0,mast_20250730_143711_784,-10.928616,-62.674553,True,True,True,10.69592,25.05251
42,0,mast_20250730_143712_774,-7.7465973,-57.113983,True,True,True,8.945431,25.05251
43,0,mast_20250730_143713_787,-17.235865,46.449936,False,False,False,99.59082,25.05251
44,0,mast_20250730_143714_794,-5.012627,44.057125,False,False,False,97.778984,25.05251
45,0,mast_20250730_143715_802,-1.0591949,39.347675,False,False,False,93.63808,25.05251
46,0,mast_20250730_143716_791,-0.4081981,-63.841705,True,True,True,18.716108,25.05251
47,0,mast_20250730_143717_803,-13.752055,43.719395,False,False,False,96.87,25.05251
