Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-08T14:37:27,environment,Anomaly,74.5,30.0,152.5,44.5,IPC1
2025-08-08T14:37:28,environment,Anomaly,74.5,152.5,36.5,29.5,IPC1
2025-08-08T14:37:29,environment,Anomaly,55.1,30.0,103.5,116.0,IPC1
2025-08-08T14:37:30,environment,Anomaly,54.8,103.5,103.0,171.0,IPC1
2025-08-08T14:37:31,environment,Anomaly,60.6,103.0,29.5,30.0,IPC1
2025-08-08T14:37:32,environment,Anomaly,60.6,29.5,30.0,105.5,IPC1
2025-08-08T14:37:33,environment,Anomaly,59.7,30.0,104.5,103.0,IPC1
2025-08-08T14:37:34,environment,Anomaly,59.7,155.0,103.5,103.0,IPC1
2025-08-08T14:37:35,environment,Anomaly,57.8,30.0,29.5,103.0,IPC1
2025-08-08T14:37:36,environment,Anomaly,57.8,30.0,29.5,49.0,IPC1
2025-08-08T14:37:37,environment,Anomaly,57.1,49.0,151.5,29.5,IPC1
2025-08-08T14:37:38,environment,Anomaly,55.9,30.0,103.5,48.0,IPC1
2025-08-08T14:37:39,environment,Anomaly,55.9,30.0,29.5,103.5,IPC1
2025-08-08T14:37:40,environment,Anomaly,55.9,30.0,29.5,103.0,IPC1
2025-08-08T14:37:41,environment,Anomaly,55.9,30.0,104.5,171.0,IPC1
2025-08-08T14:37:42,environment,Anomaly,56.5,103.0,48.5,118.0,IPC1
2025-08-08T14:37:43,environment,Anomaly,56.5,103.5,30.0,49.5,IPC1
2025-08-08T14:37:45,environment,Anomaly,54.3,30.0,103.0,48.5,IPC1
2025-08-08T14:37:46,environment,Anomaly,55.3,30.0,47.5,153.5,IPC1
2025-08-08T14:37:47,environment,Anomaly,70.1,30.0,29.5,48.5,IPC1
2025-08-08T14:37:48,environment,Anomaly,70.1,29.5,30.0,103.0,IPC1
2025-08-08T14:37:49,environment,Anomaly,54.8,30.0,103.5,47.0,IPC1
2025-08-08T14:37:50,environment,Anomaly,56.7,30.0,37.0,103.0,IPC1
2025-08-08T14:37:51,environment,Anomaly,59.4,103.5,171.5,30.0,IPC1
2025-08-08T14:37:52,environment,Anomaly,59.4,48.5,104.0,102.5,IPC1
2025-08-08T14:37:53,environment,Anomaly,55.3,103.5,30.0,117.0,IPC1
2025-08-08T14:37:54,environment,Anomaly,56.4,103.5,30.0,49.5,IPC1
2025-08-08T14:37:55,environment,Anomaly,56.4,50.0,47.5,103.5,IPC1
2025-08-08T14:37:56,environment,Anomaly,57.7,37.0,109.5,30.0,IPC1
2025-08-08T14:37:57,environment,Anomaly,57.7,104.0,29.5,30.0,IPC1
