File,Timestamp,Component,Prob,Status,dB,OCSVMScore,TopFreq1,TopFreq2,TopFreq3
elevator_20250730_145544_932.wav,2025-07-30T14:55:44,elevator,1.0,Normal,85.7,0.0,683.7,408.6,1082.7
elevator_20250730_145545_922.wav,2025-07-30T14:55:45,elevator,1.0,Normal,87.8,0.0,934.6,1165.4,617.2
elevator_20250730_145546_940.wav,2025-07-30T14:55:46,elevator,1.0,Normal,85.7,0.0,731.8,594.2,976.5
elevator_20250730_145547_921.wav,2025-07-30T14:55:47,elevator,1.0,Normal,83.8,0.1,1096.8,896.3,746.1
elevator_20250730_145548_915.wav,2025-07-30T14:55:48,elevator,1.0,Normal,87.6,0.0,1119.6,828.5,950.2
elevator_20250730_145549_920.wav,2025-07-30T14:55:49,elevator,1.0,Normal,87.2,0.1,732.0,595.2,2843.9
elevator_20250730_145550_911.wav,2025-07-30T14:55:50,elevator,1.0,Normal,83.7,-0.0,1175.0,619.2,731.0
elevator_20250730_145551_922.wav,2025-07-30T14:55:51,elevator,1.0,Normal,86.8,0.1,1181.5,420.4,837.9
elevator_20250730_145552_913.wav,2025-07-30T14:55:52,elevator,1.0,Normal,87.7,0.1,570.6,732.4,1119.7
elevator_20250730_145553_910.wav,2025-07-30T14:55:53,elevator,1.0,Normal,84.7,0.0,5663.8,746.2,7939.8
elevator_20250730_145554_913.wav,2025-07-30T14:55:54,elevator,1.0,Normal,85.5,0.2,947.7,474.3,1293.9
elevator_20250730_145555_907.wav,2025-07-30T14:55:55,elevator,1.0,Normal,87.9,0.0,747.9,917.9
elevator_20250730_145556_913.wav,2025-07-30T14:55:56,elevator,1.0,Normal,86.2,0.3,610.6,731.7,2866.9
elevator_20250730_145557_908.wav,2025-07-30T14:55:57,elevator,1.0,Normal,84.1,0.1,745.3,1122.5,925.8
elevator_20250730_145558_936.wav,2025-07-30T14:55:58,elevator,1.0,Normal,87.7,0.0,1078.4,613.4,876.1
elevator_20250730_145559_919.wav,2025-07-30T14:55:59,elevator,1.0,Normal,87.1,0.1,594.7,3417.6,731.6
elevator_20250730_145600_928.wav,2025-07-30T14:56:00,elevator,0.9,Normal,83.4,0.0,704.7,815.0,1103.4
elevator_20250730_145601_924.wav,2025-07-30T14:56:01,elevator,1.0,Normal,86.6,0.1,401.4,891.4,722.9
elevator_20250730_145602_929.wav,2025-07-30T14:56:02,elevator,1.0,Normal,87.8,0.0,590.7,730.5,3386.3
elevator_20250730_145603_924.wav,2025-07-30T14:56:03,elevator,1.0,Normal,85.0,0.2,733.3,597.3,959.3
elevator_20250730_145604_914.wav,2025-07-30T14:56:04,elevator,1.0,Normal,85.7,0.1,729.1,1076.2,417.5
elevator_20250730_145605_920.wav,2025-07-30T14:56:05,elevator,1.0,Normal,87.9,0.0,623.5,1127.2,852.0
elevator_20250730_145606_908.wav,2025-07-30T14:56:06,elevator,1.0,Normal,85.9,0.1,594.5,732.0,2254.0
elevator_20250730_145607_919.wav,2025-07-30T14:56:07,elevator,1.0,Normal,83.4,0.2,1175.7,894.1,732.5
elevator_20250730_145608_914.wav,2025-07-30T14:56:08,elevator,1.0,Normal,87.5,0.0,1092.0,936.5,729.1
elevator_20250730_145609_902.wav,2025-07-30T14:56:09,elevator,1.0,Normal,87.4,0.1,732.1,595.7,976.4
elevator_20250730_145610_915.wav,2025-07-30T14:56:10,elevator,1.0,Normal,83.5,0.1,587.4,930.8,1121.7
elevator_20250730_145611_907.wav,2025-07-30T14:56:11,elevator,1.0,Normal,86.6,0.1,430.0,797.2,599.4
elevator_20250730_145612_910.wav,2025-07-30T14:56:12,elevator,1.0,Normal,87.9,0.1,627.2,976.8,780.5
