Timestamp,Component,Component_proba,Status,Status_proba,dB,TopFreq1,TopFreq2,TopFreq3,TopFreq4,TopFreq5,Tester_id,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
2025-08-13T13:00:05,environment,1.00,Normal,,66.62,355.10,442.53,525.24,610.70,RPB1,-355.83,120.55,41.66,27.98,24.66,9.14,9.53,5.07,4.51,-1.32,3.42,4.06,2.36
2025-08-13T13:00:06,environment,1.00,Normal,,66.75,334.11,455.08,587.24,534.95,393.34,RPB1,-362.90,130.40,40.23,27.70,26.08,8.63,10.85,5.08,3.18,0.94,3.92,4.66,2.50
2025-08-13T13:00:07,environment,1.00,Normal,,60.59,317.06,441.41,499.51,371.82,RPB1,-377.61,135.62,40.99,27.91,26.65,8.03,10.07,5.96,1.86,1.53,4.03,4.33,2.11
2025-08-13T13:00:08,environment,1.00,Normal,,60.53,359.68,455.10,511.99,187.27,623.93,RPB1,-380.41,135.26,41.13,28.98,27.79,7.12,8.80,7.95,2.84,0.67,3.38,4.13,2.51
2025-08-13T13:00:09,environment,1.00,Normal,,60.50,354.43,443.05,301.70,501.16,RPB1,-382.94,133.59,43.75,29.40,26.88,7.70,9.66,8.14,1.76,1.12,3.87,4.25,3.58
2025-08-13T13:00:10,environment,1.00,Normal,,60.69,339.56,404.04,505.79,RPB1,-382.89,132.04,47.26,28.80,24.96,8.94,10.85,7.49,1.71,2.76,5.09,4.15,3.78
2025-08-13T13:00:11,environment,1.00,Normal,,60.49,358.72,413.31,560.43,304.83,471.38,RPB1,-385.35,133.26,44.61,28.08,25.92,8.87,10.23,6.80,2.88,2.90,5.27,3.83,3.40
2025-08-13T13:00:12,environment,1.00,Normal,,60.19,339.70,403.53,476.20,538.72,256.92,RPB1,-379.89,132.54,40.58,27.84,25.85,8.48,8.57,6.06,3.26,1.89,5.42,3.76,2.87
2025-08-13T13:00:13,environment,0.99,Normal,,64.47,322.63,390.05,441.15,623.31,492.79,RPB1,-319.59,135.89,19.80,25.08,16.86,2.07,8.73,2.57,2.59,-1.12,9.95,4.68,0.71
2025-08-13T13:00:14,environment,0.84,Normal,,64.64,499.62,661.10,393.06,909.54,447.79,RPB1,-302.50,136.00,13.67,20.16,17.82,2.81,9.52,2.45,2.55,-0.23,11.78,4.45,-0.46
